Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolArea,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,RL,65,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,1Fam,2Story,7,5,2003,2003,Gable,Gd,TA,PConc,Gd,TA,706,0,150,856,GasA,Ex,Y,856,854,0,1710,1,0,2,1,3,1,Gd,8,0,Attchd,2003,2,548,0,61,0,0,0,2,2008,WD,Normal,208500
2,20,RL,80,9600,Pave,Reg,Lvl,AllPub,FR2,Gtl,Veenker,1Fam,1Story,6,8,1976,1976,Gable,TA,TA,CBlock,Gd,TA,978,0,284,1262,GasA,Ex,Y,1262,0,0,1262,0,1,2,0,3,1,TA,6,1,Attchd,1976,2,460,298,0,0,0,0,5,2007,WD,Normal,181500
3,60,RL,68,11250,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,1Fam,2Story,7,5,2001,2002,Gable,Gd,TA,PConc,Gd,TA,486,0,434,920,GasA,Ex,Y,920,866,0,1786,1,0,2,1,3,1,Gd,6,1,Attchd,2001,2,608,0,42,0,0,0,9,2008,WD,Normal,223500
4,70,RL,60,9550,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,1Fam,2Story,7,5,1915,1970,Gable,TA,TA,BrkTil,TA,Gd,216,0,540,756,GasA,Gd,Y,961,756,0,1717,1,0,1,0,3,1,Gd,7,1,Detchd,1998,3,642,0,35,272,0,0,2,2006,WD,Abnorml,140000
5,60,RL,84,14260,Pave,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,1Fam,2Story,8,5,2000,2000,Gable,Gd,TA,PConc,Gd,TA,655,0,490,1145,GasA,Ex,Y,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,1,Attchd,2000,3,836,192,84,0,0,0,12,2008,WD,Normal,250000
6,50,RL,85,14115,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,1Fam,1.5Fin,5,5,1993,1995,Gable,TA,TA,Wood,Gd,TA,732,0,64,796,GasA,Ex,Y,796,566,0,1362,1,0,1,1,1,1,TA,5,0,Attchd,1993,2,480,40,30,0,0,0,10,2009,WD,Normal,143000
7,20,RL,75,10084,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,1Fam,1Story,8,5,2004,2005,Gable,Gd,TA,PConc,Gd,TA,1369,0,317,1686,GasA,Ex,Y,1694,0,0,1694,1,0,2,0,3,1,Gd,7,1,Attchd,2004,2,636,255,57,0,0,0,8,2007,WD,Normal,307000
8,60,RL,NA,10382,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,1Fam,2Story,7,6,1973,1973,Gable,TA,TA,CBlock,Gd,TA,859,32,216,1107,GasA,Ex,Y,1107,983,0,2090,1,0,2,1,3,1,TA,7,2,Attchd,1973,2,484,235,204,228,0,0,11,2009,WD,Normal,200000
9,50,RM,51,6120,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,1Fam,1.5Fin,7,5,1931,1950,Gable,TA,TA,BrkTil,TA,TA,0,0,952,952,GasA,Gd,Y,1022,752,0,1774,0,0,2,0,2,2,TA,8,2,Detchd,1931,2,468,90,0,205,0,0,4,2008,WD,Abnorml,129900
10,190,RL,50,7420,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,2fmCon,1.5Unf,5,6,1939,1950,Gable,TA,TA,BrkTil,TA,TA,851,0,140,991,GasA,Ex,Y,1077,0,0,1077,1,0,1,0,2,2,TA,5,2,Attchd,1939,1,205,0,4,0,0,0,1,2008,WD,Normal,118000
11,20,RL,70,11200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,1Fam,1Story,5,5,1965,1965,Hip,TA,TA,CBlock,TA,TA,906,0,182,1188,GasA,Ex,Y,1188,0,0,1188,1,0,2,0,3,1,TA,6,0,Attchd,1965,1,384,0,0,0,0,0,12,2006,WD,Normal,129500
12,60,RL,85,11924,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,1Fam,2Story,9,5,2005,2006,Hip,Ex,TA,PConc,Ex,TA,998,0,798,1796,GasA,Ex,Y,1796,1053,0,2849,0,0,3,1,3,1,Ex,9,2,Attchd,2005,3,736,0,74,0,0,0,6,2008,New,Partial,345000
13,20,RL,NA,12968,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,1Fam,1Story,5,6,1962,1962,Hip,TA,TA,CBlock,TA,TA,1262,0,42,1304,GasA,TA,Y,1262,0,0,1262,1,0,2,0,3,1,TA,6,1,Attchd,1962,1,352,0,0,0,0,0,3,2008,WD,Normal,144000
14,20,RL,91,10652,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,1Fam,1Story,7,5,2006,2007,Gable,Gd,TA,PConc,Gd,TA,1418,0,0,1418,GasA,Ex,Y,1418,0,0,1418,1,0,2,0,3,1,Gd,7,1,Attchd,2006,2,484,0,52,0,0,0,3,2007,New,Partial,280000
15,20,RL,NA,10920,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,1Fam,1Story,6,5,1960,1960,Hip,TA,TA,CBlock,TA,TA,1072,0,504,1576,GasA,TA,Y,1576,0,0,1576,1,0,1,0,2,1,TA,5,0,Attchd,1960,2,380,0,0,32,0,0,5,2007,COD,Abnorml,157000
16,45,RM,51,6120,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,1Fam,1.5Unf,7,8,1929,2001,Gable,TA,TA,BrkTil,Gd,TA,192,0,336,528,GasA,Ex,Y,912,0,0,912,0,0,1,0,2,1,TA,5,0,Attchd,1929,1,213,0,0,0,0,0,10,2009,WD,Normal,132000
17,20,RL,NA,11241,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,1Fam,1Story,6,7,1970,1970,Gable,TA,TA,CBlock,TA,TA,961,180,252,1393,GasA,Ex,Y,1393,0,0,1393,0,0,1,1,2,1,Gd,6,1,Attchd,1970,2,432,0,0,0,0,0,5,2009,WD,Normal,149000
18,90,RL,72,10791,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Duplex,1Story,4,5,1958,1958,Hip,TA,TA,CBlock,TA,TA,1180,0,0,1180,0,0,1,0,2,2,TA,5,0,Detchd,1958,2,396,0,0,0,0,0,3,2009,WD,Normal,90000
19,20,RL,66,13695,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5,5,1968,1968,Gable,TA,TA,CBlock,TA,TA,774,0,294,1068,GasA,Ex,Y,1068,0,0,1068,1,0,1,1,2,1,TA,6,1,Attchd,1968,2,484,0,28,0,0,0,3,2007,WD,Normal,159000
20,20,RL,70,7560,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,8,5,1997,1998,Gable,Gd,TA,PConc,Gd,TA,1235,0,205,1440,GasA,Ex,Y,1440,0,0,1440,0,0,2,0,2,1,Gd,6,0,Attchd,1997,2,480,0,0,0,0,0,6,2009,WD,Normal,139000
21,60,RL,101,14215,Pave,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,1Fam,2Story,8,5,2000,2000,Gable,Gd,TA,PConc,Gd,TA,963,0,595,1558,GasA,Ex,Y,1558,1218,0,2776,1,0,3,1,4,1,Gd,9,1,Attchd,2000,3,608,0,0,0,0,0,11,2006,WD,Normal,325300
22,45,RM,57,7449,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,1Fam,1.5Fin,4,7,1910,1950,Gable,TA,TA,BrkTil,NA,NA,0,0,0,0,GasA,Gd,Y,1092,0,0,1092,0,0,1,0,3,1,TA,5,1,Detchd,1920,1,308,0,0,0,0,0,6,2007,WD,Normal,139400
